Número REDS;Data Fato;Município;Código da Infração;AIT/ AINA - Número Documento;AIT/AINA - Órgão Origem -Autoridade Responsável;Qtde Infrações
2019-004696515-001;30/01/2019;SANTO ANTONIO DO MONTE;50100;AM00364637;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004696515-001;30/01/2019;SANTO ANTONIO DO MONTE;51180;AM00364638;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004701955-001;30/01/2019;SANTO ANTONIO DO MONTE;50100;AM00364639;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004701955-001;30/01/2019;SANTO ANTONIO DO MONTE;51180;AM00364640;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004705089-001;30/01/2019;SANTO ANTONIO DO MONTE;50100;AM00364641;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004705089-001;30/01/2019;SANTO ANTONIO DO MONTE;51180;AM00364642;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004710549-001;30/01/2019;POMPEU;69120;AM00227849;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004710549-001;30/01/2019;POMPEU;70721;AM00227848;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004740376-001;31/01/2019;NOVA SERRANA;50100;AJ200835;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004740376-001;31/01/2019;NOVA SERRANA;65992;AJ200836;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004740376-001;31/01/2019;NOVA SERRANA;67261;AJ200837;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004746317-001;31/01/2019;ITAUNA;55090;AG03379797;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004749091-001;31/01/2019;MOEMA;65992;AM 00040395;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004750538-001;31/01/2019;ITAUNA;55417;AG03379799;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004755803-001;31/01/2019;CLAUDIO;50292;am00266681;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004755803-001;31/01/2019;CLAUDIO;57380;am0050659;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004755803-001;31/01/2019;CLAUDIO;65992;am00050660;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004758891-001;31/01/2019;ITAUNA;55090;AG03380602;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004760912-001;31/01/2019;BOM DESPACHO;5045-0;AM00228550;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004760912-001;31/01/2019;BOM DESPACHO;6599-2;AM00228549;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004760912-001;31/01/2019;BOM DESPACHO;66372;AM00228553;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004760912-001;31/01/2019;BOM DESPACHO;67690;AM00228552;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004761776-001;31/01/2019;PARA DE MINAS;55414;AM203334;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004761839-001;31/01/2019;PARA DE MINAS;55414;AM203335;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004761867-001;31/01/2019;PARA DE MINAS;55414;AM203336;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004761904-001;31/01/2019;PARA DE MINAS;55414;AM203337;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004762138-001;31/01/2019;PARA DE MINAS;55414;am203332;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004764388-001;31/01/2019;DIVINOPOLIS;50100;AC01282797;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-004764388-001;31/01/2019;DIVINOPOLIS;65992;AC01282798;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-004764860-001;31/01/2019;ITAUNA;55414;AG03380605;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004765852-001;31/01/2019;ITAUNA;65992;AG3380400;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004766227-001;31/01/2019;ITAUNA;76251;AG03380606;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004769807-001;31/01/2019;ITAUNA;76251;AG03380607;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004770632-001;31/01/2019;BOM DESPACHO;50450;AM00228555;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004770632-001;31/01/2019;BOM DESPACHO;65992;AM00228554;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004770632-001;31/01/2019;BOM DESPACHO;66371;AM00228557;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004770632-001;31/01/2019;BOM DESPACHO;69120;AM002258558;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004776824-001;31/01/2019;ITAUNA;55414;AG03381106;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004778325-001;31/01/2019;ITAUNA;76252;AG03381107;MUNICIPAL;1
2019-004783660-001;31/01/2019;POMPEU;65992;AC01281451;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-004784714-001;31/01/2019;POMPEU;50450;AC01281453;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-004784714-001;31/01/2019;POMPEU;51420;AC01281454;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-004784714-001;31/01/2019;POMPEU;65992;AC01281452;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-004784796-001;31/01/2019;ABAETE;50100;AA00363001;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004784796-001;31/01/2019;ABAETE;52151;AM00363003;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004784796-001;31/01/2019;ABAETE;52152;AM00363006;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004784796-001;31/01/2019;ABAETE;58350;AM00363002;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004784796-001;31/01/2019;ABAETE;60502;AM00363005;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004784796-001;31/01/2019;ABAETE;73400;AM00363007;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004786650-001;31/01/2019;PARA DE MINAS;50100;AM00204219;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004786650-001;31/01/2019;PARA DE MINAS;51851;AM00204218;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004786650-001;31/01/2019;PARA DE MINAS;65992;AM00204220;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004786650-001;31/01/2019;PARA DE MINAS;66372;AM00204241;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004800750-001;31/01/2019;SANTO ANTONIO DO MONTE;50450;AC01250628;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-004800750-001;31/01/2019;SANTO ANTONIO DO MONTE;65992;AC01280627;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-004800788-001;31/01/2019;MARTINHO CAMPOS;65563;AM00229242;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004800788-001;31/01/2019;MARTINHO CAMPOS;65992;AM00229243;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004800788-001;31/01/2019;MARTINHO CAMPOS;66102;AM00229244;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004804300-001;31/01/2019;ITAUNA;52741;ag 3381276;MUNICIPAL;1
2019-004804300-001;31/01/2019;ITAUNA;66371;ag 03381275;MUNICIPAL;1
2019-004809973-001;31/01/2019;MARTINHO CAMPOS;67261;AM00229241;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004814192-001;31/01/2019;MARTINHO CAMPOS;66020;AM00229262;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004817521-001;31/01/2019;MARTINHO CAMPOS;50100;AM00229264;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004820447-001;31/01/2019;SERRA DA SAUDADE;50100;AM00229511;DETRAN - DEPARTAMENTO DE TRANSITO;1
