Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Logradouro Ocorrência Não Cadastrado;Logradouro Cruzamento;Logradouro Cruzamento Não Cadastrado;Número Logradouro;Bairro;Bairro Não Cadastrado;Complemento Endereço;Ponto de Referência;Município;Latitude;Longitude;Data Fato;Horário Fato;Descrição Longa Tipo Material;Descrição Longa Unidade Medida;Situação Material;Qtde Materiais;Qtde/Volume Material
2019-000002720-001;POLICIA MILITAR;3 PEL/280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;B01147;CONSUMADO;RUA;SINFRONIO LEITE;;PREENCHIMENTO OPCIONAL;;285;CENTRO;;;;CONCEICAO DO PARA;-19,75116180;-44,89312680;01/01/2019;00:49:43;OUTROS - INSTRUMENTO PERFURANTE, CORTANTE OU CONTUNDENTE;UNIDADE;APREENDIDO;1;1,00
2019-000002733-001;POLICIA MILITAR;2 PEL/241 CIA PM/63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;I04033;CONSUMADO;FAZENDA;PAUS SECOS - PROXIMO COMUNIDADE DA ILHA;PAUS SECOS - PROXIMO COMUNIDADE DA ILHA;PREENCHIMENTO OPCIONAL;;0.00000;INVÁLIDO;ZONA RURAL;;"""GRÊMIO RECREATIVO DA QUÍMICA""";ARCOS;-20,22294400;-45,54388900;01/01/2019;00:47:08;BOLSA / MOCHILA;PREENCHIMENTO OPCIONAL;APREENDIDO;1;0,00
2019-000002733-001;POLICIA MILITAR;2 PEL/241 CIA PM/63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;I04033;CONSUMADO;FAZENDA;PAUS SECOS - PROXIMO COMUNIDADE DA ILHA;PAUS SECOS - PROXIMO COMUNIDADE DA ILHA;PREENCHIMENTO OPCIONAL;;0.00000;INVÁLIDO;ZONA RURAL;;"""GRÊMIO RECREATIVO DA QUÍMICA""";ARCOS;-20,22294400;-45,54388900;01/01/2019;00:47:08;ECSTASY / MDMA;UNIDADE;APREENDIDO;2;3,00
2019-000002733-001;POLICIA MILITAR;2 PEL/241 CIA PM/63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;I04033;CONSUMADO;FAZENDA;PAUS SECOS - PROXIMO COMUNIDADE DA ILHA;PAUS SECOS - PROXIMO COMUNIDADE DA ILHA;PREENCHIMENTO OPCIONAL;;0.00000;INVÁLIDO;ZONA RURAL;;"""GRÊMIO RECREATIVO DA QUÍMICA""";ARCOS;-20,22294400;-45,54388900;01/01/2019;00:47:08;HAXIXE EM BOLA;UNIDADE;APREENDIDO;1;3,00
2019-000002733-001;POLICIA MILITAR;2 PEL/241 CIA PM/63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;I04033;CONSUMADO;FAZENDA;PAUS SECOS - PROXIMO COMUNIDADE DA ILHA;PAUS SECOS - PROXIMO COMUNIDADE DA ILHA;PREENCHIMENTO OPCIONAL;;0.00000;INVÁLIDO;ZONA RURAL;;"""GRÊMIO RECREATIVO DA QUÍMICA""";ARCOS;-20,22294400;-45,54388900;01/01/2019;00:47:08;MOEDA NACIONAL (REAL);PREENCHIMENTO OPCIONAL;APREENDIDO;1;0,00
2019-000002733-001;POLICIA MILITAR;2 PEL/241 CIA PM/63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;I04033;CONSUMADO;FAZENDA;PAUS SECOS - PROXIMO COMUNIDADE DA ILHA;PAUS SECOS - PROXIMO COMUNIDADE DA ILHA;PREENCHIMENTO OPCIONAL;;0.00000;INVÁLIDO;ZONA RURAL;;"""GRÊMIO RECREATIVO DA QUÍMICA""";ARCOS;-20,22294400;-45,54388900;01/01/2019;00:47:08;OUTROS - LSD;PREENCHIMENTO OPCIONAL;APREENDIDO;1;0,00
2019-000002971-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;I04028;CONSUMADO;RUA;CHIQUINHO DA QUITA;;AMERICO SILVINO;;;VOLTA DO BREJO;;;;POMPEU;-19,21768870;-44,98779800;01/01/2019;00:00:00;BUCHA DE MACONHA;UNIDADE;APREENDIDO;1;1,00
2019-000005148-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;23 BPM/7 RPM;E99000;CONSUMADO;AVENIDA;VINTE E UM DE ABRIL;;PREENCHIMENTO OPCIONAL;;1045;CENTRO;;;;DIVINOPOLIS;-20,14044100;-44,88888080;01/01/2019;00:07:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);UNIDADE;APREENDIDO;1;0,00
2019-000006196-001;POLICIA MILITAR;63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;I04028;CONSUMADO;RUA;COMERCIO;;PREENCHIMENTO OPCIONAL;;1060;LAVA PÉS;;;;BAMBUI;-20,01958170;-45,98755320;01/01/2019;01:28:00;CRACK EM PEDRAS;PREENCHIMENTO OPCIONAL;APREENDIDO;1;0,00
2019-000006863-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;ALAMEDA;RIO CAIAPO;;PREENCHIMENTO OPCIONAL;;640;FABIO NOTINI;;;;DIVINOPOLIS;-20,14659680;-44,91945680;01/01/2019;00:42:47;ASPIRADOR DE PO;PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;0,00
2019-000006863-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;ALAMEDA;RIO CAIAPO;;PREENCHIMENTO OPCIONAL;;640;FABIO NOTINI;;;;DIVINOPOLIS;-20,14659680;-44,91945680;01/01/2019;00:42:47;FOGAO / BOTIJAO DE GAS;PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);2;0,00
2019-000006863-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;ALAMEDA;RIO CAIAPO;;PREENCHIMENTO OPCIONAL;;640;FABIO NOTINI;;;;DIVINOPOLIS;-20,14659680;-44,91945680;01/01/2019;00:42:47;FORNO ELETRICO / MICRO-ONDAS;PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);2;0,00
2019-000006863-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;ALAMEDA;RIO CAIAPO;;PREENCHIMENTO OPCIONAL;;640;FABIO NOTINI;;;;DIVINOPOLIS;-20,14659680;-44,91945680;01/01/2019;00:42:47;OUTROS EQUIP ELETRO-ELETRONICOS (DISCRIMINAR NO HISTORICO);PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;0,00
2019-000006863-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;ALAMEDA;RIO CAIAPO;;PREENCHIMENTO OPCIONAL;;640;FABIO NOTINI;;;;DIVINOPOLIS;-20,14659680;-44,91945680;01/01/2019;00:42:47;TELEVISAO;UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;2,00
2019-000011277-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;23 BPM/7 RPM;C01155;CONSUMADO;RUA;ANTONIO COSTA DE FREITAS;;PREENCHIMENTO OPCIONAL;;180;CHACARAS BELO HORIZONTE;;;;DIVINOPOLIS;-20,18215140;-44,80715100;01/01/2019;01:23:28;OUTROS - BEBIDA;UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);2;12,00
2019-000011277-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;23 BPM/7 RPM;C01155;CONSUMADO;RUA;ANTONIO COSTA DE FREITAS;;PREENCHIMENTO OPCIONAL;;180;CHACARAS BELO HORIZONTE;;;;DIVINOPOLIS;-20,18215140;-44,80715100;01/01/2019;01:23:28;OUTROS - EQUIPAMENTOS FOTOGRAFICOS;UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);2;2,00
2019-000011277-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;23 BPM/7 RPM;C01155;CONSUMADO;RUA;ANTONIO COSTA DE FREITAS;;PREENCHIMENTO OPCIONAL;;180;CHACARAS BELO HORIZONTE;;;;DIVINOPOLIS;-20,18215140;-44,80715100;01/01/2019;01:23:28;OUTROS - EQUIP / SOFTWARE PARA INFORMATICA;UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;1,00
2019-000011277-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;23 BPM/7 RPM;C01155;CONSUMADO;RUA;ANTONIO COSTA DE FREITAS;;PREENCHIMENTO OPCIONAL;;180;CHACARAS BELO HORIZONTE;;;;DIVINOPOLIS;-20,18215140;-44,80715100;01/01/2019;01:23:28;OUTROS - MATERIAIS DE CONSTRUCAO / ELETRICOS / TELEFONIA;UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;1,00
2019-000011277-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;23 BPM/7 RPM;C01155;CONSUMADO;RUA;ANTONIO COSTA DE FREITAS;;PREENCHIMENTO OPCIONAL;;180;CHACARAS BELO HORIZONTE;;;;DIVINOPOLIS;-20,18215140;-44,80715100;01/01/2019;01:23:28;OUTROS OBJETOS (DISCRIMINAR NO HISTORICO);UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);3;3,00
2019-000011277-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;23 BPM/7 RPM;C01155;CONSUMADO;RUA;ANTONIO COSTA DE FREITAS;;PREENCHIMENTO OPCIONAL;;180;CHACARAS BELO HORIZONTE;;;;DIVINOPOLIS;-20,18215140;-44,80715100;01/01/2019;01:23:28;TELEVISAO;PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;0,00
2019-000011734-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;B01121;TENTADO;RUA;PADRE TELES;;PREENCHIMENTO OPCIONAL;;305;JK;;;;PARA DE MINAS;-19,84226500;-44,61696570;01/01/2019;01:21:07;OUTROS - INSTRUMENTO PERFURANTE, CORTANTE OU CONTUNDENTE;PREENCHIMENTO OPCIONAL;APREENDIDO;1;0,00
2019-000011734-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;B01121;TENTADO;RUA;PADRE TELES;;PREENCHIMENTO OPCIONAL;;305;JK;;;;PARA DE MINAS;-19,84226500;-44,61696570;01/01/2019;01:21:07;OUTROS - INSTRUMENTO PERFURANTE, CORTANTE OU CONTUNDENTE;UNIDADE;APREENDIDO;2;2,00
2019-000012074-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;MARECHAL CASTELO BRANCO;;PREENCHIMENTO OPCIONAL;;461;SAO JOSE;;;;DIVINOPOLIS;-20,15937600;-44,90441520;01/01/2019;02:23:45;TELEFONE CELULAR;PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;0,00
2019-000013824-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;CELESTINA MARIA;;PREENCHIMENTO OPCIONAL;;77;BEIJA FLOR;;;;NOVA SERRANA;-19,87770390;-44,98098830;01/01/2019;02:54:45;MOEDA NACIONAL (REAL);UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;50,00
2019-000013824-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;CELESTINA MARIA;;PREENCHIMENTO OPCIONAL;;77;BEIJA FLOR;;;;NOVA SERRANA;-19,87770390;-44,98098830;01/01/2019;02:54:45;TELEFONE CELULAR;UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;1,00
2019-000015760-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;7 CIA PM IND PE/7 RPM;I04033;CONSUMADO;PRACA;ANTONIO QUIRINO DA SILVA;;PREENCHIMENTO OPCIONAL;;0;CENTRO;;;;ITATIAIUCU;-20,19721550;-44,42164870;01/01/2019;02:45:00;BUCHA DE MACONHA;UNIDADE;APREENDIDO;1;9,00
2019-000015760-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;7 CIA PM IND PE/7 RPM;I04033;CONSUMADO;PRACA;ANTONIO QUIRINO DA SILVA;;PREENCHIMENTO OPCIONAL;;0;CENTRO;;;;ITATIAIUCU;-20,19721550;-44,42164870;01/01/2019;02:45:00;MOEDA NACIONAL (REAL);UNIDADE;APREENDIDO;1;314,00
2019-000015760-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;7 CIA PM IND PE/7 RPM;I04033;CONSUMADO;PRACA;ANTONIO QUIRINO DA SILVA;;PREENCHIMENTO OPCIONAL;;0;CENTRO;;;;ITATIAIUCU;-20,19721550;-44,42164870;01/01/2019;02:45:00;PAPELOTES DE COCAINA;UNIDADE;APREENDIDO;1;1,00
2019-000015760-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;7 CIA PM IND PE/7 RPM;I04033;CONSUMADO;PRACA;ANTONIO QUIRINO DA SILVA;;PREENCHIMENTO OPCIONAL;;0;CENTRO;;;;ITATIAIUCU;-20,19721550;-44,42164870;01/01/2019;02:45:00;TELEFONE CELULAR;UNIDADE;APREENDIDO;1;1,00
2019-000015799-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;PRACA;LEVY VITOI FREITAS;;PREENCHIMENTO OPCIONAL;;12;CENTRO;;;;CLAUDIO;-20,44248260;-44,76374910;01/01/2019;02:20:00;MOEDA NACIONAL (REAL);UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;150,00
2019-000015799-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;PRACA;LEVY VITOI FREITAS;;PREENCHIMENTO OPCIONAL;;12;CENTRO;;;;CLAUDIO;-20,44248260;-44,76374910;01/01/2019;02:20:00;TELEFONE CELULAR;UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;1,00
2019-000017261-001;POLICIA MILITAR;4 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;I04028;CONSUMADO;PRACA;JOSE ANICETO;;PREENCHIMENTO OPCIONAL;;0;CENTRO;;;;MARAVILHAS;-19,51186840;-44,67614110;01/01/2019;04:00:00;OUTROS - COCAINA;UNIDADE;APREENDIDO;1;1,00
2019-000022199-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;50 CIA PM/7 BPM/7 RPM;B01129;CONSUMADO;RUA;OLEGARIO MACIEL;;PREENCHIMENTO OPCIONAL;;547;OLEGARIO MACIEL;;;;BOM DESPACHO;-19,73021220;-45,25871810;01/01/2019;05:14:36;OUTROS - INSTRUMENTO PERFURANTE, CORTANTE OU CONTUNDENTE;UNIDADE;APREENDIDO;1;1,00
2019-000026760-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;E03014;CONSUMADO;RUA;PROFESSOR JACINTO RIBEIRO;;PREENCHIMENTO OPCIONAL;;522;CENTRO;;;;LAGOA DA PRATA;-20,02731750;-45,54595690;01/01/2019;07:19:32;CARREGADOR / MUNICIADOR DE ARMA DE FOGO DE USO PERMITIDO;UNIDADE;APREENDIDO;1;3,00
2019-000026760-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;E03014;CONSUMADO;RUA;PROFESSOR JACINTO RIBEIRO;;PREENCHIMENTO OPCIONAL;;522;CENTRO;;;;LAGOA DA PRATA;-20,02731750;-45,54595690;01/01/2019;07:19:32;CARTUCHO INTACTO (MUNICAO) DE CALIBRE RESTRITO;UNIDADE;APREENDIDO;2;36,00
2019-000026760-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;E03014;CONSUMADO;RUA;PROFESSOR JACINTO RIBEIRO;;PREENCHIMENTO OPCIONAL;;522;CENTRO;;;;LAGOA DA PRATA;-20,02731750;-45,54595690;01/01/2019;07:19:32;OUTROS - INSTRUMENTO PERFURANTE, CORTANTE OU CONTUNDENTE;UNIDADE;APREENDIDO;1;1,00
2019-000028506-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;RUA;DONA ALZIRA MATOS;;PREENCHIMENTO OPCIONAL;;150;TROPICAL;;;AO LADO DO TROPICAL TENIS CLUBE;ITAUNA;-20,07980310;-44,58939810;01/01/2019;02:00:00;MOEDA NACIONAL (REAL);PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);2;0,00
2019-000028506-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;RUA;DONA ALZIRA MATOS;;PREENCHIMENTO OPCIONAL;;150;TROPICAL;;;AO LADO DO TROPICAL TENIS CLUBE;ITAUNA;-20,07980310;-44,58939810;01/01/2019;02:00:00;OUTROS EQUIP ELETRO-ELETRONICOS (DISCRIMINAR NO HISTORICO);PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;0,00
2019-000028506-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;RUA;DONA ALZIRA MATOS;;PREENCHIMENTO OPCIONAL;;150;TROPICAL;;;AO LADO DO TROPICAL TENIS CLUBE;ITAUNA;-20,07980310;-44,58939810;01/01/2019;02:00:00;OUTROS OBJETOS (DISCRIMINAR NO HISTORICO);PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);3;0,00
2019-000028506-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;RUA;DONA ALZIRA MATOS;;PREENCHIMENTO OPCIONAL;;150;TROPICAL;;;AO LADO DO TROPICAL TENIS CLUBE;ITAUNA;-20,07980310;-44,58939810;01/01/2019;02:00:00;OUTROS - VESTUARIO EM GERAL;PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;0,00
2019-000029699-001;POLICIA MILITAR;3 PEL/107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;D01213;CONSUMADO;RUA;SETE DE SETEMBRO;;PREENCHIMENTO OPCIONAL;;413;NOVO ORIENTE;;;;LUZ;-19,78865140;-45,66939720;01/01/2019;04:39:00;OUTROS - VESTUARIO EM GERAL;UNIDADE;APREENDIDO;1;1,00
2019-000029855-001;POLICIA MILITAR;4 PEL/107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;E99000;CONSUMADO;RUA;OLGA ROCHA DE OLIVEIRA;;PREENCHIMENTO OPCIONAL;;237;MARIA ANGELICA DE CASTRO;;;;SANTO ANTONIO DO MONTE;-20,09478070;-45,27503340;01/01/2019;08:20:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);PREENCHIMENTO OPCIONAL;APREENDIDO;1;1,00
2019-000029987-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;C01155;CONSUMADO;AVENIDA;PAULO VI;;PREENCHIMENTO OPCIONAL;;220;PADRE LIBERIO;;;SUPERMERCADO PANELINHA;PARA DE MINAS;-19,82809350;-44,59980270;01/01/2019;08:21:34;MOEDA NACIONAL (REAL);PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;0,00
2019-000031672-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;A11000;CONSUMADO;AVENIDA;CINCO;JK;PREENCHIMENTO OPCIONAL;;323.000;BOM PASTOR;BOM PASTOR;;;DIVINOPOLIS;-20,12561760;-44,88743570;01/01/2019;09:15:31;CARREGADOR / MUNICIADOR DE ARMA DE FOGO (USO RESTRITO);PREENCHIMENTO OPCIONAL;RECUPERADO;1;0,00
2019-000031672-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;A11000;CONSUMADO;AVENIDA;CINCO;JK;PREENCHIMENTO OPCIONAL;;323.000;BOM PASTOR;BOM PASTOR;;;DIVINOPOLIS;-20,12561760;-44,88743570;01/01/2019;09:15:31;CARTUCHO INTACTO (MUNICAO) DE ARMA DE FOGO DE USO PERMITIDO;PREENCHIMENTO OPCIONAL;RECUPERADO;1;14,00
2019-000031672-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;A11000;CONSUMADO;AVENIDA;CINCO;JK;PREENCHIMENTO OPCIONAL;;323.000;BOM PASTOR;BOM PASTOR;;;DIVINOPOLIS;-20,12561760;-44,88743570;01/01/2019;09:15:31;OUTROS OBJETOS PESSOAIS (DISCRIMINAR NO HISTORICO);PREENCHIMENTO OPCIONAL;RECUPERADO;1;0,00
2019-000034256-001;POLICIA MILITAR;2 PEL/241 CIA PM/63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;B01147;CONSUMADO;RUA;JOAO DE OLIVEIRA FILHO;;PREENCHIMENTO OPCIONAL;;10;ALVORADA;;;;ARCOS;-20,27866930;-45,52811080;01/01/2019;10:09:15;OUTROS OBJETOS (DISCRIMINAR NO HISTORICO);UNIDADE;APREENDIDO;2;2,00
2019-000036976-001;POLICIA MILITAR;INVÁLIDO;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;RUA;INVÁLIDO;PITANGUI;PREENCHIMENTO OPCIONAL;;717;INVÁLIDO;PADRE LIBERIO;;bar zepelin;DIVINOPOLIS;;;01/01/2019;04:00:00;TELEFONE CELULAR;PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;1,00
2019-000037507-001;POLICIA MILITAR;3 PEL/141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;C01155;CONSUMADO;RUA;WALDEMAR ALVARES RODRIGUES SOUZA;;PREENCHIMENTO OPCIONAL;;1460;CENTRO;;;;MORADA NOVA DE MINAS;-18,59733130;-45,35902650;01/01/2019;04:45:00;OUTROS - INSTRUMENTO PERFURANTE, CORTANTE OU CONTUNDENTE;UNIDADE;APREENDIDO;1;1,00
2019-000037507-001;POLICIA MILITAR;3 PEL/141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;C01155;CONSUMADO;RUA;WALDEMAR ALVARES RODRIGUES SOUZA;;PREENCHIMENTO OPCIONAL;;1460;CENTRO;;;;MORADA NOVA DE MINAS;-18,59733130;-45,35902650;01/01/2019;04:45:00;TELEFONE CELULAR;UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);2;2,00
2019-000038270-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01155;TENTADO;RUA;INVÁLIDO;JOSE DO PATROCINIO;PREENCHIMENTO OPCIONAL;;66;INVÁLIDO;VILA ANDRE DE FREITAS;;;NOVA SERRANA;;;01/01/2019;11:17:56;OUTROS - EQUIPAMENTOS PARA CONSTRUCAO;UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;1,00
2019-000038270-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01155;TENTADO;RUA;INVÁLIDO;JOSE DO PATROCINIO;PREENCHIMENTO OPCIONAL;;66;INVÁLIDO;VILA ANDRE DE FREITAS;;;NOVA SERRANA;;;01/01/2019;11:17:56;OUTROS - INSTRUMENTO PERFURANTE, CORTANTE OU CONTUNDENTE;UNIDADE;APREENDIDO;1;1,00
2019-000038270-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01155;TENTADO;RUA;INVÁLIDO;JOSE DO PATROCINIO;PREENCHIMENTO OPCIONAL;;66;INVÁLIDO;VILA ANDRE DE FREITAS;;;NOVA SERRANA;;;01/01/2019;11:17:56;OUTROS - MATERIAIS DE CONSTRUCAO / ELETRICOS / TELEFONIA;PREENCHIMENTO OPCIONAL;OUTROS - SITUACAO DO MATERIAL;1;1,00
2019-000044396-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;RUA;PITANGUI;;PREENCHIMENTO OPCIONAL;;550;PADRE LIBERIO;;;;DIVINOPOLIS;-20,12100990;-44,88102230;01/01/2019;13:04:11;MOEDA NACIONAL (REAL);PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;100,00
2019-000045297-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;B01147;CONSUMADO;RUA;POVOADO CAPOEIRAO;A;PREENCHIMENTO OPCIONAL;;0.00000;INVÁLIDO;CAPOEIRÃO;;;JAPARAIBA;-20,12451250;-45,56367710;01/01/2019;12:00:00;OUTROS  - EXPLOSIVOS / MUNICOES / TIRO ESPORTIVO;UNIDADE;APREENDIDO;1;4,00
2019-000045297-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;B01147;CONSUMADO;RUA;POVOADO CAPOEIRAO;A;PREENCHIMENTO OPCIONAL;;0.00000;INVÁLIDO;CAPOEIRÃO;;;JAPARAIBA;-20,12451250;-45,56367710;01/01/2019;12:00:00;OUTROS OBJETOS (DISCRIMINAR NO HISTORICO);UNIDADE;APREENDIDO;1;1,00
2019-000045503-001;POLICIA MILITAR;3 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;U34200;CONSUMADO;PRACA;PADRE ALTAMIRO DE FARIA;;PREENCHIMENTO OPCIONAL;;67;CENTRO;;;;SAO SEBASTIAO DO OESTE;-20,27419650;-45,00303560;01/01/2019;01:00:00;TELEFONE CELULAR;UNIDADE;EXTRAVIADO;1;1,00
2019-000048901-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;RUA;JOSE BRANDAO;;PREENCHIMENTO OPCIONAL;;401;PARQUE JARDIM SANTANENSE;;;;ITAUNA;-20,08500610;-44,60886950;01/01/2019;04:00:00;OUTROS EQUIP ELETRO-ELETRONICOS (DISCRIMINAR NO HISTORICO);UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;1,00
2019-000048901-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;RUA;JOSE BRANDAO;;PREENCHIMENTO OPCIONAL;;401;PARQUE JARDIM SANTANENSE;;;;ITAUNA;-20,08500610;-44,60886950;01/01/2019;04:00:00;OUTROS OBJETOS (DISCRIMINAR NO HISTORICO);UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;1,00
