Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Logradouro Ocorrência Não Cadastrado;Logradouro Cruzamento;Logradouro Cruzamento Não Cadastrado;Número Logradouro;Bairro;Bairro Não Cadastrado;Complemento Endereço;Ponto de Referência;Município;Latitude;Longitude;Data Fato;Horário Fato;Descrição Longa Tipo Material;Descrição Longa Unidade Medida;Situação Material;Qtde Materiais;Qtde/Volume Material
2019-004560136-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;50 CIA PM/7 BPM/7 RPM;C01155;CONSUMADO;AVENIDA;ANA ROSA;;PREENCHIMENTO OPCIONAL;;0;ANA ROSA;;;;BOM DESPACHO;-19,73957560;-45,24274280;30/01/2019;05:56:42;OUTROS OBJETOS (DISCRIMINAR NO HISTORICO);PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;2,00
2019-004563261-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01155;CONSUMADO;RUA;INVÁLIDO;CECI AMARAL DA SILVA;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;JEFERSON BATISTA DE FREITAS;;;NOVA SERRANA;;;30/01/2019;06:45:00;TELEFONE CELULAR;UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;1,00
2019-004563402-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;AVENIDA;DORINATO LIMA;;PREENCHIMENTO OPCIONAL;;1216;LOURDES;;;;ITAUNA;-20,08850360;-44,56851470;30/01/2019;07:25:32;OUTROS - EQUIPAMENTOS DE SEGURANCA;UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;1,00
2019-004567100-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;AVENIDA;HORIZONTE;;PREENCHIMENTO OPCIONAL;;994.000;CHACREAMENTO VALE VERDE;CHACREAMENTO VALE VERDE;;;ITAUNA;-20,10344270;-44,61061320;30/01/2019;08:16:37;OUTROS - MATERIAIS DE CONSTRUCAO / ELETRICOS / TELEFONIA;PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;0,00
2019-004568721-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;AVENIDA;HORIZONTE;;PREENCHIMENTO OPCIONAL;;23.0000;CHACREAMENTO VALE VERDE;CHACREAMENTO VALE VERDE;;;ITAUNA;-20,10660660;-44,61460910;30/01/2019;08:34:17;OUTROS - FERRAMENTAS EM GERAL;PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;0,00
2019-004568721-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;AVENIDA;HORIZONTE;;PREENCHIMENTO OPCIONAL;;23.0000;CHACREAMENTO VALE VERDE;CHACREAMENTO VALE VERDE;;;ITAUNA;-20,10660660;-44,61460910;30/01/2019;08:34:17;OUTROS - MATERIAIS DE CONSTRUCAO / ELETRICOS / TELEFONIA;PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);3;0,00
2019-004568721-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;AVENIDA;HORIZONTE;;PREENCHIMENTO OPCIONAL;;23.0000;CHACREAMENTO VALE VERDE;CHACREAMENTO VALE VERDE;;;ITAUNA;-20,10660660;-44,61460910;30/01/2019;08:34:17;OUTROS - MATERIAIS DE CONSTRUCAO / ELETRICOS / TELEFONIA;UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;1,00
2019-004572275-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;U34100;CONSUMADO;RUA;MONTE SANTO;;GOIAS;;;SANTO ANTONIO;;;;DIVINOPOLIS;-20,14119840;-44,90288900;30/01/2019;09:03:12;CARTAO DE PLANO DE SAUDE;PREENCHIMENTO OPCIONAL;EXTRAVIADO;1;0,00
2019-004572275-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;U34100;CONSUMADO;RUA;MONTE SANTO;;GOIAS;;;SANTO ANTONIO;;;;DIVINOPOLIS;-20,14119840;-44,90288900;30/01/2019;09:03:12;MOEDA NACIONAL (REAL);PREENCHIMENTO OPCIONAL;EXTRAVIADO;1;0,00
2019-004573740-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;E03012;CONSUMADO;RUA;MILTON CAETANO DA SILVA;NILTON CAETANO DA SILVA;PREENCHIMENTO OPCIONAL;;21.0000;ALTO DA CAPOEIRA;ALTO DA CAPOEIRA;;;POMPEU;-19,20356990;-45,01267300;30/01/2019;09:05:00;CARTUCHO INTACTO (MUNICAO) DE ARMA DE FOGO DE USO PERMITIDO;UNIDADE;APREENDIDO;1;2,00
2019-004575119-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;50 CIA PM/7 BPM/7 RPM;C01155;CONSUMADO;RUA;PARANA;;PREENCHIMENTO OPCIONAL;;62;CRUZ DO MONTE;;;;BOM DESPACHO;-19,73834840;-45,24472470;30/01/2019;09:22:06;TELEFONE CELULAR;PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;0,00
2019-004576756-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;AVENIDA;VINTE E UM DE ABRIL;;PREENCHIMENTO OPCIONAL;;850;CENTRO;;;;DIVINOPOLIS;-20,14223640;-44,88928730;30/01/2019;09:35:51;TELEFONE CELULAR;PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;0,00
2019-004577278-001;POLICIA MILITAR;INVÁLIDO;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;RODOVIA;INVÁLIDO;MG 431;PREENCHIMENTO OPCIONAL;;61;INVÁLIDO;;;;ITAUNA;;;30/01/2019;09:39:52;OUTROS - EQUIPAMENTOS INDUSTRIAIS;QUILOGRAMA;FURTADO / ROUBADO (NAO RECUPERADO);1;127,00
