UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO;ANO
UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO;2019
MG;CONCEICAO DOS OUROS;5081;3014;0;276;8;558;120;0;26;24;904;55;20;0;43;17;0;1;0;0;1;14;2019
MG;CONEGO MARINHO;1381;347;0;29;0;105;37;0;0;8;786;29;28;0;12;0;0;0;0;0;0;0;2019
MG;CONFINS;4593;2572;0;214;88;388;125;0;33;32;778;92;47;0;76;109;0;17;0;2;3;17;2019
MG;CONGONHAL;6527;3431;0;304;28;678;151;0;37;13;1650;61;16;0;103;29;1;1;0;1;2;21;2019
MG;CONGONHAS;28796;17679;0;1078;676;2205;797;0;327;200;3850;536;166;0;384;671;1;4;0;14;19;189;2019
MG;CONGONHAS DO NORTE;1431;563;0;66;1;163;40;0;4;3;548;7;16;0;15;1;0;0;0;0;2;2;2019
MG;CONQUISTA;3322;2103;0;171;42;321;104;0;12;26;330;30;41;0;99;26;0;0;0;0;0;17;2019
MG;CONSELHEIRO LAFAIETE;75539;45065;0;1623;622;4951;2239;0;167;377;16534;1076;682;1;993;584;3;2;0;8;32;580;2019
MG;CONSELHEIRO PENA;8586;3482;0;258;5;673;90;0;34;14;3383;396;67;0;136;7;2;1;0;2;20;16;2019
MG;CONSOLACAO;571;311;0;17;0;63;9;0;0;7;153;1;5;0;5;0;0;0;0;0;0;0;2019
MG;CONTAGEM;337805;205484;0;14531;4260;27269;12293;0;500;1704;51337;3427;3009;0;5927;5731;7;30;2;277;93;1924;2019
MG;COQUEIRAL;4427;2572;0;142;10;402;85;0;0;18;1065;42;28;0;40;7;5;0;0;0;0;11;2019
MG;CORACAO DE JESUS;7209;2662;0;241;4;776;99;0;11;11;2919;214;128;0;119;6;0;2;0;0;4;13;2019
MG;CORDISBURGO;3025;1608;0;119;10;329;59;0;43;19;734;39;28;0;25;9;0;0;0;0;0;3;2019
MG;CORDISLANDIA;1292;775;0;48;0;123;53;0;3;21;237;8;9;0;13;0;0;0;0;0;0;2;2019
MG;CORINTO;10884;5277;0;397;26;995;195;0;93;32;2988;498;104;0;208;40;0;5;0;2;3;21;2019
MG;COROACI;2886;985;0;94;0;227;41;0;5;8;1374;97;24;0;21;4;0;0;0;0;0;6;2019
MG;COROMANDEL;17548;10065;0;766;274;2163;358;0;52;119;2428;381;120;0;374;366;1;2;0;1;14;64;2019
MG;CORONEL FABRICIANO;49994;28338;0;1230;202;3063;1238;2;622;231;12543;547;588;2;939;187;2;4;0;8;36;212;2019
MG;CORONEL MURTA;2453;703;0;41;6;187;23;0;2;11;1358;62;19;0;25;8;0;0;0;0;0;8;2019
MG;CORONEL PACHECO;767;504;0;33;0;71;22;0;2;5;97;3;8;0;20;0;0;0;0;1;0;1;2019
MG;CORONEL XAVIER CHAVES;1401;761;0;93;2;95;22;0;1;8;352;7;4;0;40;7;0;0;0;0;1;8;2019
MG;CORREGO DANTA;1370;791;0;56;16;213;41;0;2;3;158;11;19;0;29;30;0;0;0;0;0;1;2019
MG;CORREGO DO BOM JESUS;2096;1079;0;53;4;205;44;0;2;12;621;29;15;0;24;0;1;0;0;0;0;7;2019
MG;CORREGO FUNDO;3474;1766;0;380;57;260;40;0;4;29;675;66;35;0;81;75;0;0;0;1;3;2;2019
