UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO;ANO
MG;JOSENOPOLIS;535;135;0;20;0;46;5;0;0;5;301;2;19;0;2;0;0;0;0;0;0;0;2016
MG;JUATUBA;10129;6291;0;340;108;843;292;0;43;58;1447;170;230;0;151;109;0;4;0;3;4;36;2016
MG;JUIZ DE FORA;251694;168653;0;6388;1334;14951;10007;0;1037;868;33150;4104;1844;0;5002;1745;7;30;0;31;72;2471;2016
MG;JURAMENTO;461;184;0;23;1;35;2;0;1;2;188;7;14;0;1;1;0;0;0;0;1;1;2016
MG;JURUAIA;6036;2731;0;109;14;554;89;0;0;23;2275;119;30;0;59;15;1;0;0;0;2;15;2016
MG;JUVENILIA;702;242;0;32;1;50;5;0;1;4;340;5;12;0;8;1;0;0;0;0;0;1;2016
MG;LADAINHA;3249;897;0;64;1;231;34;0;12;24;1821;93;52;0;12;2;0;0;0;0;3;3;2016
MG;LAGAMAR;3362;1857;0;122;59;332;47;0;4;35;676;42;25;0;91;68;2;0;0;0;0;2;2016
MG;LAGOA DA PRATA;32228;15257;0;1194;194;2482;473;0;28;73;7976;3059;183;0;835;290;3;10;0;4;7;160;2016
MG;LAGOA DOS PATOS;816;279;0;39;2;96;9;0;0;0;350;13;14;0;7;5;0;0;0;0;1;1;2016
MG;LAGOA DOURADA;6921;2720;0;432;44;488;115;0;0;42;2644;161;143;0;59;48;0;0;0;0;12;13;2016
MG;LAGOA FORMOSA;9374;5189;0;422;133;1084;149;0;16;29;1704;263;102;0;113;147;0;0;0;1;3;19;2016
MG;LAGOA GRANDE;3334;1486;0;136;18;292;26;0;7;10;1103;68;63;0;105;12;3;0;0;0;2;3;2016
MG;LAGOA SANTA;30531;18118;0;881;47;2448;1041;0;310;150;5931;651;145;0;441;51;0;5;1;1;36;274;2016
MG;LAJINHA;8928;3849;0;321;7;740;143;0;30;48;3400;231;55;0;78;8;1;1;1;1;2;12;2016
MG;LAMBARI;11166;6252;0;412;26;1040;264;0;14;69;2585;286;36;0;102;23;0;4;0;1;2;50;2016
MG;LAMIM;1521;580;0;44;3;70;24;0;0;4;758;12;10;0;13;2;0;0;0;0;0;1;2016
MG;LARANJAL;3044;1338;0;121;294;233;40;0;3;11;809;41;5;0;43;100;0;0;0;0;2;4;2016
MG;LASSANCE;1554;646;0;52;0;163;32;0;6;19;577;22;11;0;24;1;0;0;0;0;0;1;2016
MG;LAVRAS;58703;31766;0;1443;775;4679;1643;1;54;215;13512;1603;290;0;1277;1070;1;7;1;3;31;332;2016
MG;LEANDRO FERREIRA;1500;730;0;47;5;163;26;0;0;7;448;39;8;0;22;3;0;0;0;0;0;2;2016
MG;LEME DO PRADO;1484;396;0;35;10;133;19;0;0;5;825;13;17;0;7;16;0;0;0;0;7;1;2016
MG;LEOPOLDINA;20526;12112;0;769;300;1403;451;0;105;85;4236;252;92;0;438;182;10;1;0;1;8;81;2016
MG;LIBERDADE;2606;1588;0;137;4;199;66;0;0;20;511;28;12;0;28;3;0;0;0;0;0;10;2016
MG;LIMA DUARTE;5808;3443;0;227;5;481;196;0;100;34;1133;25;36;0;72;8;0;1;0;1;5;41;2016
MG;LIMEIRA DO OESTE;3797;1787;0;186;65;358;102;0;36;34;760;72;62;0;234;98;0;0;0;0;0;3;2016
MG;LONTRA;1626;668;0;34;0;113;23;0;1;6;696;22;17;0;44;0;0;1;0;0;0;1;2016
MG;LUISBURGO;2990;1125;0;49;0;348;30;0;25;12;1337;29;24;0;8;1;0;0;0;0;0;2;2016
MG;LUISLANDIA;861;324;0;28;1;79;18;0;0;6;352;21;17;0;11;4;0;0;0;0;0;0;2016
MG;LUMINARIAS;2518;1314;0;132;2;223;34;0;0;11;717;17;46;0;18;2;0;0;0;0;0;2;2016
MG;LUZ;9179;5406;0;371;64;951;211;0;65;60;1483;175;38;0;229;96;5;1;0;0;1;23;2016
MG;MACHACALIS;1731;694;0;39;0;169;21;0;5;5;731;24;12;0;28;0;0;0;0;0;0;3;2016
MG;MACHADO;20656;10864;0;839;113;2303;548;0;26;166;4461;771;138;0;185;128;1;2;0;1;4;106;2016
MG;MADRE DE DEUS DE MINAS;2137;1122;0;123;5;216;66;0;7;17;486;30;15;0;35;6;0;0;0;0;3;6;2016
MG;MALACACHETA;5197;1996;0;127;2;589;46;0;45;16;2157;62;59;0;53;2;0;0;0;0;30;13;2016
MG;MAMONAS;3007;799;0;114;1;221;9;0;1;9;1699;97;27;0;25;3;0;0;0;0;0;2;2016
MG;MANGA;4703;1426;0;155;14;488;53;0;17;13;2205;184;60;0;62;13;1;2;0;0;6;4;2016
MG;MANHUACU;37255;19466;0;1814;285;3843;739;0;338;164;9082;508;196;0;371;273;3;8;1;9;4;151;2016
MG;MANHUMIRIM;10985;5877;0;367;54;1101;216;0;263;53;2717;72;49;0;129;46;7;0;0;1;5;28;2016
MG;MANTENA;18359;5860;0;594;18;1181;195;0;20;43;8124;1862;85;0;300;36;3;1;0;1;16;20;2016
MG;MAR DE ESPANHA;5302;3115;0;266;18;457;171;0;46;32;984;91;24;0;56;22;0;0;0;0;3;17;2016
