Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Logradouro Ocorrência Não Cadastrado;Logradouro Cruzamento;Logradouro Cruzamento Não Cadastrado;Número Logradouro;Bairro;Bairro Não Cadastrado;Complemento Endereço;Ponto de Referência;Município;Latitude;Longitude;Data Fato;Horário Fato;Descrição Tipo Material;Situação Material;Qtde Materiais
2019-058431050-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;C01157;CONSUMADO;RUA;ALEXANDRE BERNARDES PRIMO;;PREENCHIMENTO OPCIONAL;;1511;CENTRO;;;;LAGOA DA PRATA;-20,02506430;-45,54790770;27/11/2019;22:21:32;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-059935919-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;7 CIA PM IND PE/7 RPM;C01157;CONSUMADO;AVENIDA;ANTONIO OLIMPIO DE MORAIS;;PREENCHIMENTO OPCIONAL;;859;CENTRO;;;;DIVINOPOLIS;-20,14043630;-44,88746720;05/12/2019;23:16:34;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-060259000-001;POLICIA MILITAR;3 PEL/280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;LIMA GUIMARAES;;PREENCHIMENTO OPCIONAL;;388;SANTA RITA;;;;PITANGUI;-19,68646180;-44,89033820;07/12/2019;20:50:58;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-061655347-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;RUA;MOACIR JOSE LEITE;;PREENCHIMENTO OPCIONAL;;100;SANTA CLARA;;;;DIVINOPOLIS;-20,12736910;-44,88151690;15/12/2019;21:39:18;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-062052788-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;50 CIA PM/7 BPM/7 RPM;C01157;TENTADO;RUA;OPERARIOS;;PREENCHIMENTO OPCIONAL;;97;CENTRO;;;;BOM DESPACHO;-19,73343980;-45,25005160;17/12/2019;22:27:06;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-063537538-001;POLICIA MILITAR;279 CIA PM/60 BPM/7 RPM;60 BPM/7 RPM;C01157;CONSUMADO;POVOADO;NOVAIS;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;bar;carroças bier ( bar e lanchonete);NOVA SERRANA;-19,81916700;-45,05502800;26/12/2019;21:49:26;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-063538350-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;GETULIO VARGAS;;GOIAS;;;CENTRO;;;;DIVINOPOLIS;-20,14665580;-44,88668790;26/12/2019;22:50:07;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;2
2019-064013497-001;POLICIA MILITAR;139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;ALAMEDA;RIO DO PEIXE;;PREENCHIMENTO OPCIONAL;;266;TIETE;;;;DIVINOPOLIS;-20,14465170;-44,91641420;30/12/2019;01:21:20;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-005208138-001;POLICIA MILITAR;279 CIA PM/60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;JACUTINGA;;PREENCHIMENTO OPCIONAL;;125;SANTA CRUZ;;;;NOVA SERRANA;-19,88643470;-44,96926530;30/01/2020;20:25:49;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-006478180-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;50 CIA PM/7 BPM/7 RPM;C01157;CONSUMADO;RODOVIA;BR 262;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;BOM DESPACHO;-19,78900270;-45,26691000;07/02/2020;00:05:13;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-007195370-001;POLICIA MILITAR;60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;INVÁLIDO;DOS ANHANBUS;PREENCHIMENTO OPCIONAL;;820;INVÁLIDO;ANTONIO VENANCIO;;;NOVA SERRANA;;;11/02/2020;07:36:18;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-007460592-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;RUA;QUATRO;WILSON DE OLIVEIRA;PREENCHIMENTO OPCIONAL;;111.000;SAO LUCAS;HALIM SOUKI;;;DIVINOPOLIS;-20,13366880;-44,86306730;12/02/2020;13:41:43;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-008905262-001;POLICIA MILITAR;279 CIA PM/60 BPM/7 RPM;68 CIA TM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;LIBERALINO DA COSTA PINTO;;PREENCHIMENTO OPCIONAL;;623;JARDIM DO LAGO;;;;NOVA SERRANA;-19,87829240;-44,99567890;19/02/2020;22:12:50;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
