REDS;UNIDADE;MUNICIPIO;NATUREZA;INDICADOR;DATA ENVIO;DATA RESPOSTA CINDS;AUDITADO;PROTOCOLO;OBSERVACAO
2020-006516695-001 ;7º BPM;MARTINHO CAMPOS;ROUBO;DESCONTABILIZAR REDS;02/03/2020;04/03/2020;SIM;202003021321204-2003;
2020-008814501-001;7º BPM;POMPÉU;ROUBO;DESCONTABILIZAR REDS;02/03/2020;04/03/2020;SIM;202003021321204-2003;
2020-005623840-001;23º BPM;DIVINOPOLIS;FURTO;INCLUSAO CRIME VIOLENTO;;10/03/2020;SIM;202003021552196-2003;RECEBIDO PELO CINDS
2020-006095047-001;23º BPM;DIVINOPOLIS;HOMICIDIO ;DESCONTABILIZAR REDS;;;SIM;;JANEIRO
2020-002297851-001;23º BPM;DIVINOPOLIS;ROUBO;DESCONTABILIZAR REDS;;;SIM;;JANEIRO
2020-013758037-002;23º BPM;ITAUNA;ROUBO;DESCONTABILIZAR REDS;24/03/2020;31/03/2020;SIM;202003022363094-2003;
2020-014571974-001;19ª CIA PM IND;PARÁ DE MINAS;AVERIGUAÇÃO DE PESSOA EM ATITUDE SUSPEITA;ACERTO DE TRI;24/03/2020;31/03/2020;SIM;202003022372233-2003;
2020-012981379-001;19ª CIA PM IND;PARÁ DE MINAS;ROUBO;DESCONTABILIZAR REDS;17/03/2020;31/03/2020;SIM;202003022379312-2003;
2020-006937902-001;63º BPM;FORMIGA;CONDUZIR VEÍCULO SOB INFLUÊNCIA DE EFEITO DE ÁLCOOL;INCLUSAO DE ARMA DE FOGO;16/03/2020;02/04/2020;NÃO;202004022488486-2004;
2020-010749100-002;63º BPM;BAMBUÍ;ROUBO;DESCONTABILIZAR REDS;16/03/2020;02/04/2020;SIM;202004022488486-2004;
2020-012606641-001;7º BPM;POMPÉU;ROUBO;DESCONTABILIZAR REDS;02/04/2020;;;;
2020-011159461-001;7º BPM;CÓRREGO DANTA;ESTUPRO;;02/04/2020;;;;
2020-005864394-001;7º BPM;SERRA DA SAUDADE;POSSE ILEGAL ARMA DE FOGO;;02/04/2020;;;;
2020-006087928-001;7º BPM;DORES DO INDAIÁ;POSSE ILEGAL ARMA DE FOGO;;02/04/2020;;;;
2020-013671958-001;7º BPM;POMPÉU;ESTUPRO DE VULNERÁVEL;;02/04/2020;;;;
2020-013991371-001;7º BPM;POMPÉU;ESTUPRO DE VULNERÁVEL;;02/04/2020;;;;
