Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Logradouro Ocorrência Não Cadastrado;Logradouro Cruzamento;Logradouro Cruzamento Não Cadastrado;Número Logradouro;Bairro;Bairro Não Cadastrado;Complemento Endereço;Ponto de Referência;Município;Latitude;Longitude;Situação Arma;Tipo Arma;Data Fato;Horário Fato;Qtde  Armas de Fogo
2019-002247854-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;50 CIA PM/7 BPM/7 RPM;E99000;CONSUMADO;RUA;ESPINOSA;;PREENCHIMENTO OPCIONAL;;2250;JK;;;;BOM DESPACHO;-19,74909360;-45,28819800;APREENDIDO;ESPINGARDA POLVEIRA;15/01/2019;18:45:32;1
2019-002254282-001;POLICIA MILITAR;60 BPM/7 RPM;68 CIA TM/60 BPM/7 RPM;E03012;CONSUMADO;RUA;DIRETORA MARIA DO CARMO;;PREENCHIMENTO OPCIONAL;;61;CENTRO;;;;NOVA SERRANA;-19,87901510;-44,98369040;APREENDIDO;REVOLVER;15/01/2019;19:23:31;1
2019-002283228-001;POLICIA MILITAR;60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;E03014;CONSUMADO;AVENIDA;AMARAL;;PREENCHIMENTO OPCIONAL;;670;NOVO HORIZONTE;;;;NOVA SERRANA;-19,85695390;-44,99470550;APREENDIDO;REVOLVER;15/01/2019;23:24:38;1
2019-002328973-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;I04033;CONSUMADO;RUA;INVÁLIDO;VICENTE TELES DE FARIA;PREENCHIMENTO OPCIONAL;;1095;INVÁLIDO;JEFERSON BATISTA DE FREITAS;;;NOVA SERRANA;;;APREENDIDO;REVOLVER;16/01/2019;09:50:00;1
2019-002600919-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;50 CIA PM/7 BPM/7 RPM;I04033;CONSUMADO;AVENIDA;LAGOA VERDE;;PREENCHIMENTO OPCIONAL;;2189;NOVO SÃO VICENTE;;;NÚMERO REAL É 2179;BOM DESPACHO;-19,73723100;-45,28307970;APREENDIDO;REVOLVER;17/01/2019;18:52:53;1
2019-002611122-001;POLICIA MILITAR;INVÁLIDO;19 CIA PM IND/7 RPM;I04033;CONSUMADO;RUA;INVÁLIDO;ABAETE;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;VARZEA;;;PARA DE MINAS;;;APREENDIDO;PISTOLA;17/01/2019;21:49:34;1
2019-002817200-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;E03015;CONSUMADO;ALAMEDA;IPE AMARELO;;PREENCHIMENTO OPCIONAL;;69;CIDADE JARDIM;;;;LAGOA DA PRATA;-20,03425130;-45,54581960;APREENDIDO;REVOLVER;19/01/2019;03:56:22;1
2019-002832488-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;7 CIA PM RV/BPMRV/CPRV;E03014;CONSUMADO;RODOVIA;MG 420;;PREENCHIMENTO OPCIONAL;;41;BELVEDERE;;;;POMPEU;-19,22832410;-44,97620550;APREENDIDO;REVOLVER;19/01/2019;09:00:00;1
2019-002918898-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;E03012;CONSUMADO;RUA;TENENTE JOSINO;;PREENCHIMENTO OPCIONAL;;415;VOLTA DO BREJO;;CASA;;POMPEU;-19,21591270;-44,98414090;APREENDIDO;ESPINGARDA POLVEIRA;19/01/2019;22:00:00;1
2019-002918898-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;E03012;CONSUMADO;RUA;TENENTE JOSINO;;PREENCHIMENTO OPCIONAL;;415;VOLTA DO BREJO;;CASA;;POMPEU;-19,21591270;-44,98414090;APREENDIDO;GARRUCHA;19/01/2019;22:00:00;1
