Unid Registro Nível 6;TIPO
3 GP/1 PEL MAMB/10 CIA PM MAMB/BPM MAMB ;CPMAMB
18 CIA PM RV/BPMRV/CPRV ;CPRV
3 GP/3 PEL MAMB/7 CIA PM MAMB/BPM MAMB ;CPMAMB
18 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
3 GP/1 PEL PM RV/15 CIA PM RV/BPMRV/CPRV ;CPRV
15 CIA PM RV/BPMRV/CPRV ;CPRV
2 PEL/1 CIA PCHQ/BPCHQ/CPE ;CPE
2 GP/1 PEL MAMB/8 CIA PM MAMB/BPM MAMB ;CPMAMB
RCAT/CPE ;CPE
1 PEL RV/9 CIA PM RV/BPMRV/CPRV ;CPRV
1 PEL PCAES/CIA PM IND PCAES/CPE ;CPE
2 GP/2 PEL MAMB/12 CIA PM MAMB/BPM MAMB ;CPMAMB
BPCHQ/CPE ;CPE
BPGD/CPE ;CPE
3 GP/2 PEL MAMB/10 CIA PM MAMB/BPM MAMB ;CPMAMB
5 GP/2 PEL MAMB/14 CIA PM MAMB/BPM MAMB ;CPMAMB
1 PEL MAMB/10 CIA PM MAMB/BPM MAMB ;CPMAMB
3 CIA ROTAM/BTL ROTAM/CPE ;CPE
2 PEL RV/13 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP NER/3 PEL/3 ESQ PMONT/RCAT/CPE ;CPE
2 GP/2 PEL MAMB/10 CIA PM MAMB/BPM MAMB ;CPMAMB
4 GP/1 PEL MAMB/7 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/4 PEL MAMB/12 CIA PM MAMB/BPM MAMB ;CPMAMB
2 PEL RV/7 CIA PM RV/BPMRV/CPRV ;CPRV
3 GP/2 PEL MAB/8 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/1 PEL MAMB/17 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/4 PEL MAMB/12 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/1 PEL MAMB/6 CIA PM MAMB/BPM MAMB ;CPMAMB
2 PEL MAMB/17 CIA PM MAMB/BPM MAMB ;CPMAMB
4 CIA PM RV/BPMRV/CPRV ;CPRV
3 GP/1 PEL MAMB/13 CIA PM MAMB/BPM MAMB ;CPMAMB
4 GP/1 PEL MAMB/13 CIA PM MAMB/BPM MAMB ;CPMAMB
1 PEL MAMB/15 CIA PM MAMB/BPM MAMB ;CPMAMB
10 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/1 PEL MAMB/12 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/1 PEL MAMB/10 CIA PM MAMB/BPM MAMB ;CPMAMB
17 CIA PM RV/BPMRV/CPRV ;CPRV
2 PEL RV/16 CIA PM RV/BPMRV/CPRV ;CPRV
13 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
3 GP/1 PEL MAMB/9 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/2 PEL MAMB/14 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/1 PEL MAMB/14 CIA PM MAMB/BPM MAMB ;CPMAMB
4 GP/3 PEL MAMB/4 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/2 PEL RV/11 CIA PM RV/BPMRV ;CPRV
7 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
4 GP/4 PEL MAMB/12 CIA PM MAMB/BPM MAMB ;CPMAMB
4 GP/1 PEL MAMB/8 CIA PM MAMB/BPM MAMB ;CPMAMB
1 PEL PMONT/2 ESQ PMONT/RCAT/CPE ;CPE
2 CIA PM RV/BPMRV/CPRV ;CPRV
2 PEL PCAES/CIA PM IND PCAES/CPE ;CPE
4 PEL/2 CIA PCHQ/BPCHQ/CPE ;CPE
8 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
4 GP/1 PEL RV/8 CIA PM RV/BPMRV/CPRV ;CPRV
12 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
4 PEL/1 CIA PCHQ/BPCHQ/CPE ;CPE
1 GP/1 PEL RV/14 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/2 PEL RV/14 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/2 PEL MAMB/4 CIA PM MAMB/BPM MAMB ;CPMAMB
2 PEL MAMB/11 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/2 PEL RV/16 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/2 PEL RV/12 CIA PM RV/BPMRV/CPRV ;CPRV
16 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
1 GP/2 PEL RV/13 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/2 PEL RV/17 CIA PM RV/BPMRV/CPRV ;CPRV
6 GP/1 PEL MAMB/15 CIA PM MAMB/BPM MAMB ;CPMAMB
1 PEL MAMB/9 CIA PM MAMB/BPM MAMB ;CPMAMB
3 PEL MAMB/7 CIA PM MAMB/BPM MAMB ;CPMAMB
4 GP/1 PEL MAMB/15 CIA PM MAMB/BPM MAMB ;CPMAMB
5 GP/1 PEL MAMB/15 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/1 PEL MAMB/15 CIA PM MAMB/BPM MAMB ;CPMAMB
2 PEL MAMB/6 CIA PM MAMB/BPM MAMB ;CPMAMB
EFETIVO OPERACIONAL/10 CIA PM RV/BPMRV ;CPRV
9 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
2 PEL RV/4 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/2 PEL MAMB/15 CIA PM MAMB ;CPMAMB
13 CIA PM RV/BPMRV/CPRV ;CPRV
11 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
1 PEL MAMB/7 CIA PM MAMB/BPM MAMB ;CPMAMB
2 PEL MAMB/5 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
5 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
1 PEL MAMB/12 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/1 PEL MAMB/16 CIA PM MAMB/BPM MAMB ;CPMAMB
1 PEL RV/6 CIA PM RV/BPMRV/CPRV ;CPRV
1 PEL RV/7 CIA PM RV/BPMRV/CPRV ;CPRV
2 PEL MAMB/10 CIA PM MAMB/BPM MAMB ;CPMAMB
3 PEL PRP/2 CIA ROTAM/BTL ROTAM/CPE ;CPE
11 CIA PM RV/BPMRV/CPRV ;CPRV
BTL ROTAM/CPE ;CPE
2 PEL RV/8 CIA PM RV/BPMRV/CPRV ;CPRV
3 PEL MAMB/5 CIA PM MAMB/BPM MAMB ;CPMAMB
3 PEL RV REC/1 CIA PM RV/BPMRV/CPRV ;CPRV
1 PEL RV/8 CIA PM RV/BPMRV/CPRV ;CPRV
14 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
15 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
17 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
PCS/BTL ROTAM/CPE ;CPE
4 PEL RV RECOB/2 CIA PM RV/BPMRV/CPRV ;CPRV
3 GP/2 PEL MAMB/6 CIA PM MAMB/BPM MAMB ;CPMAMB
2 PEL PMONT/2 ESQ PMONT/R CAT/CPE ;CPE
