Unid Registro Nível 6;TIPO
2 GP/2 PEL PM RV/12 CIA PM RV/BPMRV/CPRV;CPRV
1 PEL RV/13 CIA PM RV/BPMRV/CPRV;CPRV
4 GP/1 PEL RV/8 CIA PM RV/BPMRV/CPRV;CPRV
3 CIA PM IND PE/3 RPM;CPE
1 PEL PCHQ/11 CIA PM IND PE/11 RPM;CPE
4 CIA PM IND PE/4 RPM;CPE
3 GP/1 PEL MAMB/15 CIA PM MAMB/BPM MAMB;CPMAMB
4 GP/2 PEL MAMB/11 CIA PM MAMB/BPM MAMB;CPMAMB
1 GP/1 PEL MAMB/9 CIA PM MAMB/BPM MAMB;CPMAMB
6 GP/1 PEL MAMB/15 CIA PM MAMB/BPM MAMB;CPMAMB
2 PEL MAMB/1 CIA PM MAMB/BPM MAMB/CPMAMB;CPMAMB
1 GP/1 PEL MAMB/17 CIA PM MAMB/BPM MAMB;CPMAMB
2 GP/3 PEL/1 CIA PM MAMB/BPM MAMB/CPMAMB;CPMAMB
3 GP/1 PEL MAMB/18 CIA PM MAMB/BPM MAMB;CPMAMB
4 GP/10 CIA PM MAMB/BPM MAMB;CPMAMB
1 GP/3 PEL MAMB/7 CIA PM MAMB/BPM MAMB;CPMAMB
4 GP/2 PEL MAMB/12 CIA PM MAMB/BPM MAMB;CPMAMB
1 GP/1 PEL MAMB/15 CIA PM MAMB/BPM MAMB;CPMAMB
2 GP/2 PEL MAMB/12 CIA PM MAMB/BPM MAMB;CPMAMB
2 GP/2 PEL MAMB/13 CIA PM MAMB/BPM MAMB;CPMAMB
4 GP/3 PEL MAMB/7 CIA PM MAMB/BPM MAMB;CPMAMB
4 GP/3 PEL MAMB/11 CIA PM MAMB/BPM MAMB;CPMAMB
3 GP/1 PEL MAMB/9 CIA PM MAMB/BPM MAMB;CPMAMB
1 PEL MAMB/10 CIA PM MAMB/BPM MAMB;CPMAMB
1 GP/1 PEL MAMB/6 CIA PM MAMB/BPM MAMB;CPMAMB
4 GP/4 PEL MAMB/12 CIA PM MAMB/BPM MAMB;CPMAMB
2 PEL MAMB/12 CIA PM MAMB/BPM MAMB;CPMAMB
1 GP/2 PEL MAMB/10 CIA PM MAMB/BPM MAMB;CPMAMB
2 GP/2 PEL MAMB/10 CIA PM MAMB/BPM MAMB;CPMAMB
1 GP/2 PEL RV/8 CIA PM RV/BPMRV/CPRV ;CPRV
9 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/2 PEL PM RV/16 CIA PM RV/BPMRV/CPRV ;CPRV
1 CIA PM RV/BPMRV/CPRV ;CPRV
2 PEL RV/9 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/1 PEL RV/16 CIA PM RV/BPMRV/CPRV ;CPRV
3 GP/1 PEL RV/7 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/1 PEL RV/6 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/2 PEL RV/7 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/1 PEL MAMB/11 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/2 PEL RV/7 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/1 PEL RV/6 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/1 PEL PM RV/14 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/2 PEL RV/6 CIA PM RV/BPMRV/CPRV ;CPRV
1 PEL RV/12 CIA PM RV/BPMRV/CPRV ;CPRV
2 PEL RV/2 CIA PM RV/BPMRV/CPRV ;CPRV
1 PEL RV/5 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/1 PEL RV/7 CIA PM RV/BPMRV/CPRV ;CPRV
3 GP/2 PEL RV/4 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/1 PEL RV/9 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/1 PEL RV/1 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/2 PEL RV/18 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/1 PEL RV/11 CIA PM RV/BPMRV ;CPRV
1 GP/2 PEL PM RV/14 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/3 PEL MAMB/7 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/2 PEL RV/10 CIA PM RV/BPMRV/CPRV ;CPRV
2 PEL RV/1 CIA PM RV/BPMRV/CPRV ;CPRV
3 GP/1 PEL PM RV/16 CIA PM RV/BPMRV/CPRV ;CPRV
4 GP/2 PEL MAMB/18 CIA PM MAMB/BPM MAMB ;CPMAMB
1 PEL RV/2 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/2 PEL PM RV/14 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/1 PEL MAMB/12 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/1 PEL MAMB/7 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/1 PEL MAMB/18 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/1 PEL RV/9 CIA PM RV/BPMRV/CPRV ;CPRV
3 GP/2 PEL PM RV/17 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/4 PEL MAMB/12 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/1 PEL RV/9 CIA PM RV/BPMRV/CPRV ;CPRV
3 GP/2 PEL RV/18 CIA PM RV/BPMRV/CPRV ;CPRV
3 GP/3 PEL RV/12 CIA PM RV/BPMRV/CPRV ;CPRV
1 PEL RV/10 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/1 PEL RV/17 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/3 PEL RV/12 CIA PM RV/BPMRV/CPRV ;CPRV
2 PEL MAMB/12 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/2 PEL RV/18 CIA PM RV/BPMRV/CPRV ;CPRV
CIA PM IND PCAES/CPE ;CPE
4 PEL RV/5 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/1 PEL RV/8 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/2 PEL RV/4 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/2 PEL RV/1 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/1 PEL RV/15 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/3 PEL RV/12 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/2 PEL PM RV/12 CIA PM RV/BPMRV/CPRV ;CPRV
3 GP/1 PEL RV/18 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/1 PEL RV/4 CIA PM RV/BPMRV/CPRV ;CPRV
BOPE/CPE ;CPE
2 CIA PGD/BPGD/CPE ;CPE
2 GP/1 PEL RV/18 CIA PM RV/BPMRV/CPRV ;CPRV
3 PEL RV/2 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/1 PEL RV/15 CIA PM RV/BPMRV/CPRV ;CPRV
1 CIA PGD/BPGD/CPE ;CPE
2 GP/2 PEL PM RV/16 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/2 PEL RV/5 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/2 PEL RV/4 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/2 PEL PM RV/13 CIA PM RV/BPMRV/CPRV ;CPRV
3 GP/2 PEL PM RV/16 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/1 PEL RV/10 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/1 PEL RV/11 CIA PM RV/BPMRV ;CPRV
1 PEL MAMB/13 CIA PM MAMB/BPM MAMB ;CPMAMB
4 PEL RV/12 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/3 PEL MAMB/4 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/2 PEL RV/5 CIA PM RV/BPMRV/CPRV ;CPRV
1 PEL RV/1 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/2 PEL MAMB/11 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/2 PEL RV/15 CIA PM RV/BPMRV/CPRV ;CPRV
3 GP/3 PEL MAMB/4 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/2 PEL PM RV/12 CIA PM RV/BPMRV/CPRV ;CPRV
1 PEL MAMB/1 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
2 GP/2 PEL RV/1 CIA PM RV/BPMRV/CPRV ;CPRV
4 GP/3 PEL MAMB/11 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/1 PEL PM RV/14 CIA PM RV/BPMRV/CPRV ;CPRV
3 PEL RV/5 CIA PM RV/BPMRV/CPRV ;CPRV
3 GP/2 PEL RV/6 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/2 PEL MAMB/6 CIA PM MAMB/BPM MAMB ;CPMAMB
2 PEL MAMB/9 CIA PM MAMB/BPM MAMB ;CPMAMB
